18:14::05:6881286,1085.4375,21.531
18:14::05:6881286,1085.46875,21.3672
18:14::05:6881286,1085.5,21.297
18:14::05:6881286,1085.53125,21.3126
18:14::05:6881286,1085.5625,21.4062
18:14::05:6881286,1085.59375,21.804
18:14::05:6881286,1085.625,22.3266
18:14::05:6881286,1085.65625,22.6854
18:14::05:6881286,1085.6875,22.8102
18:14::05:6881286,1085.71875,22.6542
18:14::05:6881286,1085.75,22.4046
18:14::05:6881286,1085.78125,21.96
18:14::05:6881286,1085.8125,21.8118
18:14::05:6881286,1085.84375,21.5466
18:14::05:9514203,1086.3125,19.893
18:14::05:9514203,1086.34375,19.4874
18:14::05:9514203,1086.375,18.9024
18:14::05:9514203,1086.40625,18.918
18:14::05:9514203,1086.4375,19.1208
18:14::05:9514203,1086.46875,18.9414
18:14::05:9514203,1086.5,19.1754
18:14::05:9514203,1086.53125,19.4796
18:14::05:9514203,1086.5625,19.659
18:14::05:9514203,1086.59375,19.971
18:14::05:9514203,1086.625,20.01
18:14::05:9514203,1086.65625,20.205
18:14::05:9514203,1086.6875,20.2362
18:14::05:9514203,1086.71875,20.049
18:14::06:4006186,1086.75,19.6746
18:14::06:4006186,1086.78125,19.815
18:14::06:4006186,1086.8125,20.3298
18:14::06:4006186,1086.84375,20.751
18:14::06:4006186,1086.875,21.4764
18:14::06:4006186,1086.90625,22.194
18:14::06:4006186,1086.9375,22.5996
18:14::06:4006186,1086.96875,22.662
18:14::06:4006186,1087,22.2876
18:14::06:4006186,1087.03125,21.921
18:14::06:4006186,1087.0625,21.7338
18:14::06:4006186,1087.09375,21.765
18:14::06:4006186,1087.125,22.0068
18:14::06:4006186,1087.15625,22.0692
18:14::06:7962197,1087.1875,21.9522
18:14::06:7962197,1087.21875,22.1394
18:14::06:7962197,1087.25,22.545
18:14::06:7962197,1087.28125,22.662
18:14::06:7962197,1087.3125,23.0754
18:14::06:7962197,1087.34375,23.676
18:14::06:7962197,1087.375,24.0036
18:14::06:7962197,1087.40625,24.3936
18:14::06:7962197,1087.4375,24.3234
18:14::06:7962197,1087.46875,24.3
18:14::06:7962197,1087.5,24.4482
18:14::06:7962197,1087.53125,24.7524
18:14::06:7962197,1087.5625,25.1112
18:14::06:7972153,1087.59375,25.275
18:14::07:2599787,1087.625,25.4232
18:14::07:2599787,1087.65625,25.7196
18:14::07:2609761,1087.6875,25.8912
18:14::07:2609761,1087.71875,25.9848
18:14::07:2609761,1087.75,25.8288
18:14::07:2609761,1087.78125,25.7196
18:14::07:2609761,1087.8125,25.3062
18:14::07:2609761,1087.84375,25.0098
18:14::07:2609761,1087.875,24.729
18:14::07:2609761,1087.90625,24.6822
18:14::07:2609761,1087.9375,24.5184
18:14::07:2609761,1087.96875,24.3702
18:14::07:2609761,1088,24.3702
18:14::07:2609761,1088.03125,24.4482
18:14::07:7047920,1088.0625,24.0192
18:14::07:7047920,1088.09375,23.8476
18:14::07:7047920,1088.125,23.8164
18:14::07:7047920,1088.15625,23.6136
18:14::07:7047920,1088.1875,23.793
18:14::07:7047920,1088.21875,23.8632
18:14::07:7047920,1088.25,24.0192
18:14::07:7047920,1088.28125,23.9412
18:14::07:7047920,1088.3125,23.9256
18:14::07:7047920,1088.34375,23.949
18:14::07:7047920,1088.375,24.0582
18:14::07:7047920,1088.40625,23.9022
18:14::07:7047920,1088.4375,23.9958
18:14::07:7047920,1088.46875,23.8554
18:14::08:1524348,1088.5,23.6604
18:14::08:1524348,1088.53125,23.9568
18:14::08:1524348,1088.5625,23.832
18:14::08:1524348,1088.59375,23.8476
18:14::08:1524348,1088.625,23.9802
18:14::08:1524348,1088.65625,24.2376
18:14::08:1524348,1088.6875,24.0816
18:14::08:1524348,1088.71875,24.339
18:14::08:1524348,1088.75,24.0738
18:14::08:1524348,1088.78125,23.91
18:14::08:1524348,1088.8125,23.8788
18:14::08:1524348,1088.84375,23.7852
18:14::08:1524348,1088.875,23.9412
18:14::08:1524348,1088.90625,23.7618
18:14::08:5488624,1088.9375,23.6682
18:14::08:5488624,1088.96875,23.8476
18:14::08:5488624,1089,23.793
18:14::08:5488624,1089.03125,23.8632
18:14::08:5488624,1089.0625,23.9412
18:14::08:5488624,1089.09375,24.0582
18:14::08:5488624,1089.125,24.1362
18:14::08:5488624,1089.15625,23.9802
18:14::08:5488624,1089.1875,23.9568
18:14::08:5488624,1089.21875,24.1596
18:14::08:5488624,1089.25,24.0114
18:14::08:5488624,1089.28125,23.9958
18:14::08:5488624,1089.3125,24.2298
18:14::08:5488624,1089.34375,24.3234
18:14::08:9966610,1089.375,24.3702
18:14::08:9966610,1089.40625,24.1986
18:14::08:9966610,1089.4375,24.2922
18:14::08:9966610,1089.46875,24.3624
18:14::08:9966610,1089.5,24.0894
18:14::08:9966610,1089.53125,24.066
18:14::08:9966610,1089.5625,23.8632
18:14::08:9966610,1089.59375,24.2142
18:14::08:9966610,1089.625,24.1596
18:14::08:9966610,1089.65625,24.0816
18:14::08:9966610,1089.6875,24.0972
18:14::08:9966610,1089.71875,24.0426
18:14::08:9966610,1089.75,24.1206
18:14::08:9966610,1089.78125,24.0348
18:14::09:4516258,1089.8125,24.0504
