18:22::22:3230714,1580.6875,5.934
18:22::22:3290557,1580.71875,5.932
18:22::22:3290557,1580.75,5.928
18:22::22:3290557,1580.78125,5.932
18:22::22:3290557,1580.8125,5.932
18:22::22:3290557,1580.84375,5.912
18:22::22:3290557,1580.875,5.908
18:22::22:3290557,1580.90625,5.906
18:22::22:3290557,1580.9375,5.904
18:22::22:3290557,1580.96875,5.894
18:22::22:3290557,1581,5.888
18:22::22:3290557,1581.03125,5.886
18:22::22:3290557,1581.0625,5.892
18:22::22:3290557,1581.09375,5.9
18:22::22:3549880,5.854,1581.65625
18:22::22:3549880,5.858,1581.6875
18:22::22:3549880,5.846,1581.71875
18:22::22:3549880,5.862,1581.75
18:22::22:3549880,5.848,1581.78125
18:22::22:3549880,5.838,1581.8125
18:22::22:3549880,5.834,1581.84375
18:22::22:3549880,5.834,1581.875
18:22::22:3549880,5.838,1581.90625
18:22::22:3549880,5.832,1581.9375
18:22::22:3549880,5.824,1581.96875
18:22::22:3549880,5.808,1582
18:22::22:3549880,5.814,1582.03125
18:22::22:3549880,5.816,1582.0625
18:22::22:5045860,1582.875,5.752
18:22::22:5045860,1582.90625,5.746
18:22::22:5045860,1582.9375,5.758
18:22::22:5045860,1582.96875,5.756
18:22::22:5045860,1583,5.75
18:22::22:5045860,1583.03125,5.766
18:22::22:5045860,1583.0625,5.756
18:22::22:5045860,1583.09375,5.772
18:22::22:5045860,1583.125,5.774
18:22::22:5045860,1583.15625,5.774
18:22::22:5045860,1583.1875,5.768
18:22::22:5045860,1583.21875,5.766
18:22::22:5045860,1583.25,5.772
18:22::22:5045860,1583.28125,5.742
18:22::22:9529055,1583.3125,5.738
18:22::22:9529055,1583.34375,5.718
18:22::22:9529055,1583.375,5.72
18:22::22:9529055,1583.40625,5.722
18:22::22:9529055,1583.4375,5.712
18:22::22:9529055,1583.46875,5.704
18:22::22:9529055,1583.5,5.696
18:22::22:9529055,1583.53125,5.702
18:22::22:9539024,1583.5625,5.698
18:22::22:9539024,1583.59375,5.694
18:22::22:9539024,1583.625,5.692
18:22::22:9539024,1583.65625,5.684
18:22::22:9539024,1583.6875,5.68
18:22::22:9539024,1583.71875,5.684
18:22::23:4007089,1583.75,5.682
18:22::23:4007089,1583.78125,5.674
18:22::23:4007089,1583.8125,5.688
18:22::23:4007089,1583.84375,5.694
18:22::23:4007089,1583.875,5.702
18:22::23:4007089,1583.90625,5.716
18:22::23:4007089,1583.9375,5.714
18:22::23:4007089,1583.96875,5.712
18:22::23:4007089,1584,5.72
18:22::23:4007089,1584.03125,5.732
18:22::23:4007089,1584.0625,5.722
18:22::23:4007089,1584.09375,5.72
18:22::23:4007089,1584.125,5.708
18:22::23:4007089,1584.15625,5.692
18:22::23:8480321,1584.1875,5.694
18:22::23:8480321,1584.21875,5.708
18:22::23:8480321,1584.25,5.698
18:22::23:8480321,1584.28125,5.688
18:22::23:8480321,1584.3125,5.68
18:22::23:8480321,1584.34375,5.68
18:22::23:8480321,1584.375,5.688
18:22::23:8480321,1584.40625,5.688
18:22::23:8480321,1584.4375,5.7
18:22::23:8480321,1584.46875,5.686
18:22::23:8480321,1584.5,5.686
18:22::23:8480321,1584.53125,5.69
18:22::23:8480321,1584.5625,5.692
18:22::23:8480321,1584.59375,5.694
18:22::24:2619488,1584.625,5.7
18:22::24:2619488,1584.65625,5.712
18:22::24:2619488,1584.6875,5.706
18:22::24:2619488,1584.71875,5.7
18:22::24:2619488,1584.75,5.698
18:22::24:2619488,1584.78125,5.688
18:22::24:2619488,1584.8125,5.686
18:22::24:2619488,1584.84375,5.674
18:22::24:2619488,1584.875,5.652
18:22::24:2619488,1584.90625,5.632
18:22::24:2629462,1584.9375,5.62
18:22::24:2629462,1584.96875,5.614
18:22::24:2629462,1585,5.624
18:22::24:2629462,1585.03125,5.624
18:22::24:7095825,1585.0625,5.618
18:22::24:7095825,1585.09375,5.618
18:22::24:7095825,1585.125,5.614
18:22::24:7095825,1585.15625,5.616
18:22::24:7095825,1585.1875,5.614
18:22::24:7095825,1585.21875,5.614
18:22::24:7095825,1585.25,5.592
18:22::24:7095825,1585.28125,5.602
18:22::24:7095825,1585.3125,5.606
18:22::24:7095825,1585.34375,5.604
18:22::24:7095825,1585.375,5.606
18:22::24:7095825,1585.40625,5.624
18:22::24:7095825,1585.4375,5.626
18:22::24:7095825,1585.46875,5.624
18:22::25:1563899,1585.5,5.622
18:22::25:1563899,1585.53125,5.606
18:22::25:1563899,1585.5625,5.612
18:22::25:1563899,1585.59375,5.612
18:22::25:1563899,1585.625,5.608
18:22::25:1563899,1585.65625,5.588
18:22::25:1563899,1585.6875,5.582
18:22::25:1563899,1585.71875,5.58
18:22::25:1563899,1585.75,5.584
18:22::25:1563899,1585.78125,5.584
18:22::25:1563899,1585.8125,5.574
18:22::25:1563899,1585.84375,5.568
18:22::25:1563899,1585.875,5.566
18:22::25:1563899,1585.90625,5.582
18:22::25:6032279,1585.9375,5.578
18:22::25:6032279,1585.96875,5.582
18:22::25:6032279,1586,5.58
18:22::25:6032279,1586.03125,5.58
18:22::25:6032279,1586.0625,5.578
18:22::25:6032279,1586.09375,5.58
18:22::25:6032279,1586.125,5.584
18:22::25:6032279,1586.15625,5.564
18:22::25:6032279,1586.1875,5.562
18:22::25:6032279,1586.21875,5.554
18:22::25:6032279,1586.25,5.558
18:22::25:6032279,1586.28125,5.554
18:22::25:6032279,1586.3125,5.55
18:22::25:6032279,1586.34375,5.552
18:22::26:0022675,1586.375,5.542
18:22::26:0022675,1586.40625,5.542
18:22::26:0022675,1586.4375,5.54
18:22::26:0022675,1586.46875,5.544
18:22::26:0022675,1586.5,5.552
18:22::26:0022675,1586.53125,5.566
18:22::26:0022675,1586.5625,5.584
18:22::26:0022675,1586.59375,5.582
18:22::26:0022675,1586.625,5.584
18:22::26:0022675,1586.65625,5.582
18:22::26:0022675,1586.6875,5.586
